merchant_id,merchant_name,category,city,region,mcc_code,risk_score,avg_transaction_uzs,is_online,years_registered
M00027,Nur Center,Transport,Termez,Surxondaryo,4525,22.2,186415,1,7
M00028,Oltin Plus,Restaurant,Fergana,Fergana,7297,9.1,180345,1,5
M00029,Baraka Bozor,Clothing,Guliston,Sirdaryo,6100,22.4,124629,0,2
M00030,Kumush Store,Cash,Namangan,Namangan,4271,35.5,27399,1,9
M00031,Kumush Service,Cash,Guliston,Sirdaryo,9148,29.7,141395,0,5
M00032,Baraka Shop,Restaurant,Termez,Surxondaryo,6698,17.6,42595,0,6
M00033,Fayz Store,Clothing,Qarshi,Qashqadaryo,7572,1.2,187219,0,3
M00034,Shams Trade,Telecom,Qarshi,Qashqadaryo,5445,31.3,161525,0,7
M00035,Zafar Shop,Fuel,Fergana,Fergana,6795,10.4,77467,0,7
M00036,Baraka Store,Grocery,Samarkand,Samarkand,9851,53.6,40864,0,5
M00037,Kumush Express,Clothing,Qarshi,Qashqadaryo,6925,47.2,297330,1,4
M00038,Yulduz Market,Pharmacy,Namangan,Namangan,4419,4.2,151763,0,4
M00039,Fayz Store,Electronics,Tashkent,Tashkent City,3466,29.1,56888,0,2
M00040,Zafar Service,ATM,Andijan,Andijan,8934,28.6,390575,1,5
M00041,Baxt Trade,Telecom,Jizzakh,Jizzakh,1885,23.3,124278,1,8
M00042,Yulduz Market,Clothing,Tashkent,Tashkent City,7744,6.7,71527,0,9
M00043,Baraka Market,Restaurant,Tashkent,Tashkent City,1367,9.0,280201,0,3
M00044,Oltin Store,Cash,Andijan,Andijan,1878,6.9,227277,0,8
M00045,Zafar Trade,Transport,Tashkent,Tashkent City,6972,13.7,192125,1,9
M00046,Baxt Center,ATM,Tashkent,Tashkent City,4426,4.5,146300,0,5
M00047,Kumush Plus,Utilities,Tashkent,Tashkent City,5361,9.6,49054,0,3
M00048,Mehr Bozor,Transport,Urgench,Xorazm,7681,18.8,51105,0,5
M00049,Fayz Plus,Electronics,Termez,Surxondaryo,8976,27.2,87029,1,5
M00050,Fayz Bozor,Electronics,Bukhara,Bukhara,6956,4.8,24575,0,4
M00051,Zafar Store,Electronics,Namangan,Namangan,1240,22.3,150551,1,3
M00052,Baxt Store,Online Shopping,Termez,Surxondaryo,3580,8.2,112470,1,9
M00053,Baxt Plus,Clothing,Andijan,Andijan,6701,5.4,124918,0,5
M00054,Zafar Plus,Restaurant,Andijan,Andijan,5404,39.3,419576,0,0
M00055,Nur Store,Telecom,Bukhara,Bukhara,2573,10.8,48009,1,9
M00056,Oltin Service,Grocery,Nukus,Karakalpakstan,9037,12.3,133750,0,1
M00057,Baraka Bozor,Restaurant,Guliston,Sirdaryo,5027,27.1,48299,0,1
M00058,Zafar Market,ATM,Bukhara,Bukhara,8316,11.0,332399,0,4
M00059,Kumush Service,Telecom,Guliston,Sirdaryo,8623,3.1,52682,0,8
M00060,Kumush Bozor,Fuel,Bukhara,Bukhara,3770,22.9,545624,0,8
M00061,Kumush Market,Transport,Nukus,Karakalpakstan,4555,16.8,55437,0,8
M00062,Mehr Market,Clothing,Fergana,Fergana,7277,7.8,153816,0,5
M00063,Baraka Center,Cash,Urgench,Xorazm,5605,24.0,180486,0,6
M00064,Shams Market,ATM,Termez,Surxondaryo,7891,11.9,239566,1,2
M00065,Shams Center,Cash,Namangan,Namangan,7964,14.4,50881,1,4
M00066,Mehr Store,Electronics,Termez,Surxondaryo,2845,6.4,46403,0,9
M00067,Kumush Center,Electronics,Qarshi,Qashqadaryo,1165,27.6,82693,0,5
M00068,Kumush Store,Transport,Tashkent,Tashkent City,5853,36.5,208895,1,1
M00069,Nur Market,Transport,Samarkand,Samarkand,1060,12.7,120557,0,6
M00070,Baraka Express,Restaurant,Andijan,Andijan,8308,24.1,284814,1,7
M00071,Yulduz Center,Online Shopping,Jizzakh,Jizzakh,7944,22.8,61589,0,9
M00072,Kumush Plus,Clothing,Urgench,Xorazm,7700,38.3,97988,0,8
M00073,Oltin Bozor,Utilities,Nukus,Karakalpakstan,4625,13.7,112842,0,3
M00074,Fayz Shop,Pharmacy,Andijan,Andijan,3765,36.1,108257,1,8
M00075,Baxt Shop,Restaurant,Termez,Surxondaryo,8618,8.2,192142,1,9
M00076,Zafar Trade,Telecom,Tashkent,Tashkent City,8785,29.1,323218,0,8
M00077,Kumush Express,Restaurant,Qarshi,Qashqadaryo,8301,22.0,75049,0,2
M00078,Kumush Market,Online Shopping,Qarshi,Qashqadaryo,4931,13.0,82779,0,4
M00079,Kumush Store,Electronics,Urgench,Xorazm,7779,11.8,152379,1,4
M00080,Fayz Store,Telecom,Guliston,Sirdaryo,1151,7.4,156849,1,9
M00081,Oltin Trade,Electronics,Andijan,Andijan,9730,9.9,284476,0,4
M00082,Zafar Express,Restaurant,Guliston,Sirdaryo,1357,9.1,129364,0,2
M00083,Mehr Shop,Utilities,Qarshi,Qashqadaryo,5697,12.7,101973,0,1
M00084,Shams Center,Fuel,Andijan,Andijan,9928,6.7,486507,1,5
M00085,Kumush Trade,Utilities,Qarshi,Qashqadaryo,2435,10.3,156331,0,1
M00086,Zafar Market,Transport,Samarkand,Samarkand,8340,20.9,212880,0,0
M00087,Oltin Store,Pharmacy,Bukhara,Bukhara,4350,11.6,33979,1,8
M00088,Nur Service,Pharmacy,Namangan,Namangan,4021,6.2,107493,1,1
M00089,Shams Store,Pharmacy,Bukhara,Bukhara,8966,4.1,296356,1,9
M00090,Oltin Trade,Pharmacy,Urgench,Xorazm,9208,49.9,131571,0,4
M00091,Zafar Bozor,Telecom,Termez,Surxondaryo,6949,22.2,113642,0,9
M00092,Nur Shop,Grocery,Urgench,Xorazm,2849,5.5,26526,0,5
M00093,Yulduz Market,Grocery,Bukhara,Bukhara,6400,9.3,108146,0,2
M00094,Kumush Express,Transport,Tashkent,Tashkent City,5753,12.0,326885,0,4
M00095,Oltin Express,Clothing,Qarshi,Qashqadaryo,1517,8.5,121222,0,2
M00096,Fayz Bozor,Utilities,Andijan,Andijan,6344,37.6,176101,1,2
M00097,Nur Plus,Restaurant,Guliston,Sirdaryo,7330,47.5,93066,0,1
M00098,Kumush Trade,Restaurant,Bukhara,Bukhara,4032,15.1,92401,0,5
M00099,Zafar Center,Restaurant,Namangan,Namangan,7057,31.5,126189,1,6
M00100,Baraka Shop,ATM,Andijan,Andijan,1176,53.3,179754,0,6
M00101,Kumush Market,Online Shopping,Jizzakh,Jizzakh,8083,10.9,224496,0,0
M00102,Yulduz Plus,Pharmacy,Guliston,Sirdaryo,8975,8.7,212702,0,1
M00103,Oltin Service,Telecom,Fergana,Fergana,7828,29.2,92354,0,6
M00104,Baxt Center,Electronics,Bukhara,Bukhara,9265,20.5,142600,0,5
M00105,Baraka Plus,Pharmacy,Qarshi,Qashqadaryo,4762,10.3,43684,0,2
M00106,Baraka Express,Electronics,Tashkent,Tashkent City,9819,17.6,147884,0,5
M00107,Fayz Store,Utilities,Namangan,Namangan,2060,8.5,24282,0,7
M00108,Yulduz Bozor,Utilities,Andijan,Andijan,5627,20.4,35909,0,2
M00109,Mehr Store,Telecom,Guliston,Sirdaryo,3284,18.8,141438,0,1
M00110,Baraka Express,Fuel,Samarkand,Samarkand,1035,14.0,184930,1,0
M00111,Baraka Service,Electronics,Termez,Surxondaryo,3545,9.6,45683,0,9
M00112,Baxt Express,Clothing,Namangan,Namangan,1825,24.5,187531,0,2
M00113,Baraka Bozor,Transport,Termez,Surxondaryo,9598,21.4,105373,0,1
M00114,Mehr Bozor,ATM,Nukus,Karakalpakstan,3957,18.6,297748,0,3
M00115,Baxt Shop,Electronics,Jizzakh,Jizzakh,4092,21.8,385201,0,0
M00116,Shams Plus,Utilities,Samarkand,Samarkand,9369,9.8,20095,0,1
M00117,Nur Service,Restaurant,Samarkand,Samarkand,2103,12.0,559308,0,1
M00118,Zafar Market,Restaurant,Qarshi,Qashqadaryo,4714,24.6,249971,1,6
M00119,Fayz Service,Cash,Samarkand,Samarkand,9668,18.9,195223,0,2
M00120,Shams Plus,Electronics,Jizzakh,Jizzakh,9945,4.9,92254,0,1
M00121,Nur Service,ATM,Tashkent,Tashkent City,7670,13.1,182224,0,6
M00122,Yulduz Service,Clothing,Namangan,Namangan,3862,18.0,161540,0,5
M00123,Baraka Market,Telecom,Jizzakh,Jizzakh,4170,10.9,239483,1,4
M00124,Shams Center,Grocery,Nukus,Karakalpakstan,1396,12.7,161373,1,0
M00125,Baraka Service,Restaurant,Jizzakh,Jizzakh,1059,7.0,189039,0,4
M00126,Nur Plus,Cash,Termez,Surxondaryo,1234,22.8,219749,1,1
M00127,Mehr Market,Pharmacy,Nukus,Karakalpakstan,1036,23.1,25708,1,5
M00128,Baxt Bozor,Utilities,Jizzakh,Jizzakh,7020,4.6,96466,0,0
M00129,Fayz Express,Telecom,Qarshi,Qashqadaryo,5120,15.4,121720,0,6
M00130,Baxt Market,Online Shopping,Qarshi,Qashqadaryo,3956,17.1,89464,0,4
M00131,Oltin Service,Electronics,Jizzakh,Jizzakh,8774,16.7,299174,1,7
M00132,Kumush Service,Cash,Samarkand,Samarkand,1588,29.8,443070,0,4
M00133,Kumush Service,Fuel,Andijan,Andijan,6861,10.2,136089,1,4
M00134,Yulduz Service,Online Shopping,Andijan,Andijan,3104,12.1,135728,0,9
M00135,Fayz Shop,Telecom,Namangan,Namangan,1386,22.6,133099,0,1
M00136,Shams Shop,Telecom,Namangan,Namangan,5585,11.8,34686,0,5
M00137,Yulduz Market,ATM,Guliston,Sirdaryo,2424,12.1,60104,0,0
M00138,Oltin Bozor,Grocery,Tashkent,Tashkent City,4952,23.7,60643,1,1
M00139,Fayz Shop,Electronics,Bukhara,Bukhara,7533,3.8,231251,1,2
M00140,Baraka Express,Utilities,Fergana,Fergana,6320,20.4,88417,0,1
M00141,Oltin Store,ATM,Fergana,Fergana,4992,5.7,114013,0,1
M00142,Kumush Store,Cash,Jizzakh,Jizzakh,2956,14.8,105693,1,7
M00143,Fayz Plus,Clothing,Qarshi,Qashqadaryo,7419,27.5,98113,0,3
M00144,Baraka Trade,Clothing,Guliston,Sirdaryo,4270,12.4,644122,0,7
M00145,Fayz Trade,Electronics,Andijan,Andijan,9120,23.0,131635,0,9
M00146,Shams Market,Clothing,Guliston,Sirdaryo,8022,3.5,371345,0,2
M00147,Oltin Market,ATM,Nukus,Karakalpakstan,7598,7.4,68787,1,3
M00148,Baxt Market,Clothing,Samarkand,Samarkand,6468,11.4,49616,1,2
M00149,Kumush Plus,Restaurant,Urgench,Xorazm,6903,6.0,246383,0,9
M00150,Baraka Trade,Cash,Bukhara,Bukhara,5539,19.3,136781,1,0
M00151,Baxt Store,Utilities,Termez,Surxondaryo,8598,23.3,199529,0,6
M00152,Oltin Service,Restaurant,Jizzakh,Jizzakh,8213,45.7,510996,0,2
M00153,Mehr Service,Pharmacy,Urgench,Xorazm,4972,17.9,140096,1,0
M00154,Oltin Store,Utilities,Namangan,Namangan,5744,34.8,164950,0,5
M00155,Zafar Market,Grocery,Namangan,Namangan,6821,9.0,92080,0,7
M00156,Nur Plus,Fuel,Samarkand,Samarkand,5706,8.6,134168,1,8
M00157,Shams Express,Online Shopping,Namangan,Namangan,8334,34.1,148912,1,7
M00158,Zafar Trade,Utilities,Fergana,Fergana,7211,17.5,178206,0,0
M00159,Shams Bozor,Clothing,Namangan,Namangan,8766,40.1,151963,1,7
M00160,Nur Center,Grocery,Jizzakh,Jizzakh,6378,41.8,34826,0,0
M00161,Oltin Shop,Utilities,Fergana,Fergana,4352,5.8,407317,0,1
M00162,Mehr Market,Online Shopping,Fergana,Fergana,2244,26.3,128903,1,1
M00163,Zafar Market,Telecom,Samarkand,Samarkand,4024,24.2,427265,1,0
M00164,Mehr Plus,Electronics,Jizzakh,Jizzakh,8595,10.7,62063,0,9
M00165,Shams Store,Utilities,Guliston,Sirdaryo,2930,24.4,80539,0,8
M00166,Fayz Bozor,Online Shopping,Qarshi,Qashqadaryo,2264,4.4,102070,0,8
M00167,Shams Store,Grocery,Urgench,Xorazm,8800,28.2,86417,0,7
M00168,Yulduz Market,Utilities,Qarshi,Qashqadaryo,7501,10.7,160247,0,5
M00169,Oltin Store,Pharmacy,Guliston,Sirdaryo,6200,8.7,287278,0,5
M00170,Mehr Express,Online Shopping,Andijan,Andijan,8576,8.8,360297,0,6
M00171,Nur Service,Telecom,Bukhara,Bukhara,6137,21.9,82599,0,7
M00172,Nur Service,Restaurant,Fergana,Fergana,3296,11.8,74337,0,0
M00173,Zafar Trade,ATM,Qarshi,Qashqadaryo,3173,13.9,221986,1,5
M00174,Oltin Express,ATM,Urgench,Xorazm,4436,32.8,51583,0,2
M00175,Kumush Plus,ATM,Jizzakh,Jizzakh,4182,14.9,205222,0,5
M00176,Yulduz Trade,Telecom,Tashkent,Tashkent City,3156,2.1,99302,0,2
M00177,Baraka Store,Pharmacy,Nukus,Karakalpakstan,1709,24.6,84319,0,9
M00178,Zafar Market,Fuel,Qarshi,Qashqadaryo,1106,3.9,12637,0,0
M00179,Yulduz Shop,Electronics,Nukus,Karakalpakstan,3850,10.4,148346,1,1
M00180,Oltin Service,Restaurant,Samarkand,Samarkand,7336,11.5,305384,0,8
M00181,Nur Plus,Pharmacy,Tashkent,Tashkent City,9756,39.5,46504,0,2
M00182,Baxt Store,Transport,Termez,Surxondaryo,2457,23.3,150448,0,5
M00183,Zafar Service,Online Shopping,Guliston,Sirdaryo,6490,44.5,178948,0,1
M00184,Baraka Shop,Clothing,Qarshi,Qashqadaryo,8117,14.1,78668,1,6
M00185,Kumush Center,Grocery,Termez,Surxondaryo,7111,25.7,169485,0,2
M00186,Shams Market,ATM,Fergana,Fergana,7024,34.6,245835,1,7
M00187,Mehr Express,Cash,Guliston,Sirdaryo,6524,25.6,138913,1,8
M00188,Fayz Plus,Online Shopping,Andijan,Andijan,8684,7.0,186802,1,4
M00189,Zafar Bozor,Transport,Bukhara,Bukhara,6895,6.5,97393,0,7
M00190,Kumush Service,ATM,Termez,Surxondaryo,9951,4.4,229809,0,3
M00191,Zafar Shop,Pharmacy,Urgench,Xorazm,9183,19.5,30466,1,5
M00192,Baxt Center,Telecom,Jizzakh,Jizzakh,8456,52.2,222201,0,0
M00193,Kumush Market,Transport,Bukhara,Bukhara,9336,29.2,321499,0,2
M00194,Yulduz Express,Telecom,Samarkand,Samarkand,3824,35.7,65805,0,4
M00195,Yulduz Shop,ATM,Samarkand,Samarkand,1381,6.6,64510,1,4
M00196,Shams Plus,Fuel,Jizzakh,Jizzakh,3191,34.0,437912,0,2
M00197,Shams Bozor,Clothing,Jizzakh,Jizzakh,3412,15.2,163412,1,5
M00198,Zafar Center,Cash,Qarshi,Qashqadaryo,7401,19.1,35478,1,2
M00199,Baxt Bozor,Fuel,Samarkand,Samarkand,2565,23.3,100697,1,1
M00200,Zafar Shop,Transport,Termez,Surxondaryo,9001,14.8,30266,1,8
M00201,Zafar Shop,Online Shopping,Termez,Surxondaryo,9175,6.6,100273,0,0
M00202,Yulduz Center,ATM,Urgench,Xorazm,4615,15.8,117283,0,1
M00203,Fayz Express,Grocery,Andijan,Andijan,8154,10.4,195946,1,1
M00204,Zafar Market,Telecom,Tashkent,Tashkent City,4932,50.8,122827,0,9
M00205,Kumush Plus,Clothing,Guliston,Sirdaryo,9358,13.3,430391,1,7
M00206,Baraka Center,Pharmacy,Nukus,Karakalpakstan,4353,2.4,131456,0,8
M00207,Yulduz Bozor,Fuel,Fergana,Fergana,1345,28.5,26095,0,5
M00208,Nur Trade,Electronics,Jizzakh,Jizzakh,1286,4.7,196306,0,8
M00209,Fayz Bozor,Utilities,Qarshi,Qashqadaryo,6449,32.3,130785,0,6
M00210,Mehr Trade,Cash,Namangan,Namangan,6365,11.3,104669,0,7
M00211,Mehr Bozor,ATM,Urgench,Xorazm,1435,4.7,279137,0,1
M00212,Mehr Plus,Online Shopping,Fergana,Fergana,7963,8.9,233569,0,2
M00213,Kumush Service,Utilities,Andijan,Andijan,2551,7.9,60129,1,3
M00214,Fayz Bozor,Online Shopping,Nukus,Karakalpakstan,9171,15.4,149055,0,6
M00215,Fayz Express,Restaurant,Guliston,Sirdaryo,8374,9.2,404835,0,2
M00216,Nur Express,Transport,Jizzakh,Jizzakh,7217,13.5,127661,0,0
M00217,Kumush Center,Restaurant,Tashkent,Tashkent City,6635,5.0,42839,0,7
M00218,Yulduz Store,Clothing,Tashkent,Tashkent City,6503,29.2,164807,1,3
M00219,Shams Bozor,Cash,Samarkand,Samarkand,5806,5.3,93582,1,1
M00220,Nur Service,ATM,Bukhara,Bukhara,1992,29.1,123216,1,9
M00221,Nur Shop,Transport,Termez,Surxondaryo,1247,39.8,55741,0,2
M00222,Kumush Service,Online Shopping,Termez,Surxondaryo,8229,16.9,157040,1,6
M00223,Fayz Express,Electronics,Nukus,Karakalpakstan,3542,3.8,75463,0,6
M00224,Fayz Center,Utilities,Termez,Surxondaryo,9747,8.3,228921,1,8
M00225,Mehr Market,Transport,Andijan,Andijan,4206,4.7,353554,0,6
M00226,Nur Shop,Telecom,Namangan,Namangan,5599,50.5,139299,0,5
M00227,Baraka Store,Online Shopping,Urgench,Xorazm,4838,13.4,56085,1,8
M00228,Nur Trade,Cash,Fergana,Fergana,5474,25.9,65612,1,0
M00229,Fayz Center,Online Shopping,Urgench,Xorazm,2129,32.3,138286,0,8
M00230,Mehr Market,Pharmacy,Andijan,Andijan,1885,34.3,154910,0,9
M00231,Oltin Plus,Clothing,Jizzakh,Jizzakh,3203,43.2,78749,1,8
M00232,Kumush Store,Electronics,Termez,Surxondaryo,3892,8.8,102215,1,6
M00233,Baxt Trade,Transport,Bukhara,Bukhara,7040,7.9,190970,0,7
M00234,Fayz Plus,Clothing,Termez,Surxondaryo,9086,8.7,282565,1,8
M00235,Baxt Shop,Restaurant,Urgench,Xorazm,6656,1.2,119180,0,1
M00236,Nur Center,Telecom,Jizzakh,Jizzakh,7895,18.8,195747,0,6
M00237,Nur Shop,ATM,Termez,Surxondaryo,4179,12.1,119617,1,5
M00238,Shams Bozor,Grocery,Bukhara,Bukhara,6409,14.0,154208,0,7
M00239,Nur Shop,Utilities,Jizzakh,Jizzakh,4174,15.5,71268,0,1
M00240,Fayz Center,ATM,Qarshi,Qashqadaryo,1746,19.3,164081,0,0
M00241,Baxt Service,ATM,Qarshi,Qashqadaryo,8382,36.0,358129,0,4
M00242,Baraka Plus,Restaurant,Guliston,Sirdaryo,9338,8.4,160906,0,0
M00243,Mehr Plus,Electronics,Jizzakh,Jizzakh,3517,8.3,167851,0,7
M00244,Baxt Express,Utilities,Samarkand,Samarkand,5207,27.5,58856,0,2
M00245,Oltin Plus,Fuel,Urgench,Xorazm,1589,14.1,157674,0,5
M00246,Fayz Plus,Cash,Urgench,Xorazm,2519,49.8,23193,0,0
M00247,Mehr Shop,Telecom,Guliston,Sirdaryo,3881,40.0,202474,1,3
M00248,Oltin Store,Clothing,Termez,Surxondaryo,6027,15.1,379263,0,6
M00249,Oltin Service,Clothing,Qarshi,Qashqadaryo,2377,28.8,78491,0,9
M00250,Baxt Plus,Pharmacy,Bukhara,Bukhara,8151,12.8,99154,0,6
M00251,Yulduz Plus,Fuel,Andijan,Andijan,3525,25.7,257790,0,3
M00252,Mehr Express,Clothing,Bukhara,Bukhara,8615,26.9,62149,0,5
M00253,Zafar Plus,Utilities,Andijan,Andijan,3846,12.0,174520,1,1
M00254,Kumush Store,Grocery,Qarshi,Qashqadaryo,5780,24.3,65823,1,4
M00255,Shams Bozor,Restaurant,Andijan,Andijan,2792,37.7,189804,0,5
M00256,Mehr Shop,Clothing,Samarkand,Samarkand,9834,27.0,98815,1,1
M00257,Mehr Trade,Grocery,Termez,Surxondaryo,3663,11.0,13254,0,4
M00258,Fayz Bozor,Pharmacy,Andijan,Andijan,1493,28.2,51785,1,7
M00259,Oltin Express,Utilities,Andijan,Andijan,6670,2.3,111355,0,3
M00260,Oltin Shop,Telecom,Nukus,Karakalpakstan,4430,44.5,534371,0,0
M00261,Yulduz Store,Fuel,Tashkent,Tashkent City,6118,33.6,98719,1,2
M00262,Oltin Trade,Grocery,Termez,Surxondaryo,8364,23.0,67651,0,7
M00263,Mehr Service,ATM,Samarkand,Samarkand,1571,39.3,153917,0,9
M00264,Yulduz Shop,Utilities,Urgench,Xorazm,8501,5.0,10188,1,8
M00265,Mehr Trade,Telecom,Urgench,Xorazm,3634,24.5,332760,1,3
M00266,Mehr Shop,Electronics,Bukhara,Bukhara,3259,46.8,196496,0,5
M00267,Yulduz Bozor,Transport,Guliston,Sirdaryo,5075,22.5,80107,0,5
M00268,Zafar Shop,Utilities,Fergana,Fergana,5000,6.9,213954,1,6
M00269,Mehr Service,Grocery,Tashkent,Tashkent City,1244,58.1,152720,0,0
M00270,Fayz Express,Online Shopping,Bukhara,Bukhara,8508,18.9,107886,0,4
M00271,Fayz Bozor,Pharmacy,Namangan,Namangan,9677,39.5,185812,0,4
M00272,Zafar Express,Clothing,Tashkent,Tashkent City,4608,19.5,111877,0,2
M00273,Yulduz Store,ATM,Fergana,Fergana,3123,24.0,137395,0,5
M00274,Baxt Center,Utilities,Bukhara,Bukhara,2807,32.4,187155,0,0
M00275,Baraka Market,Online Shopping,Urgench,Xorazm,6783,34.1,88764,0,3
M00276,Zafar Express,Online Shopping,Fergana,Fergana,4478,14.4,108474,0,6
M00277,Oltin Plus,Electronics,Termez,Surxondaryo,2027,6.8,47102,0,0
M00278,Baxt Store,Cash,Bukhara,Bukhara,9520,13.8,42915,0,1
M00279,Shams Center,Grocery,Guliston,Sirdaryo,4429,14.5,30805,0,5
M00280,Mehr Service,Clothing,Termez,Surxondaryo,9272,25.0,160626,0,5
M00281,Yulduz Shop,Restaurant,Qarshi,Qashqadaryo,1190,1.1,93327,0,0
M00282,Fayz Market,Fuel,Guliston,Sirdaryo,6589,25.1,46800,0,2
M00283,Baxt Service,Utilities,Nukus,Karakalpakstan,2213,18.1,88216,1,2
M00284,Shams Shop,Fuel,Nukus,Karakalpakstan,2012,29.3,51372,0,0
M00285,Mehr Express,Pharmacy,Jizzakh,Jizzakh,2134,2.7,138959,0,9
M00286,Fayz Store,Online Shopping,Jizzakh,Jizzakh,4579,29.3,264185,0,8
M00287,Baraka Bozor,Pharmacy,Namangan,Namangan,6645,16.4,347023,0,3
M00288,Oltin Shop,Electronics,Termez,Surxondaryo,8054,10.1,106040,1,4
M00289,Mehr Trade,ATM,Bukhara,Bukhara,1206,24.5,104170,1,4
M00290,Mehr Center,Electronics,Tashkent,Tashkent City,6518,6.4,28320,0,0
M00291,Zafar Bozor,Pharmacy,Namangan,Namangan,3950,49.1,37275,1,5
M00292,Nur Shop,Fuel,Samarkand,Samarkand,1139,14.2,349278,0,2
M00293,Mehr Center,Pharmacy,Namangan,Namangan,2671,13.4,137899,1,8
M00294,Baraka Store,Grocery,Namangan,Namangan,9506,10.4,294836,0,5
M00295,Mehr Trade,Grocery,Nukus,Karakalpakstan,7034,20.0,26566,0,2
M00296,Baraka Trade,Grocery,Guliston,Sirdaryo,7681,11.1,112925,1,6
M00297,Nur Trade,Utilities,Namangan,Namangan,1358,11.3,29955,1,9
M00298,Oltin Market,Electronics,Andijan,Andijan,9970,20.2,21158,0,8
M00299,Nur Trade,Pharmacy,Jizzakh,Jizzakh,6608,8.3,58636,0,7
M00300,Fayz Service,Clothing,Andijan,Andijan,6600,8.7,515808,0,5
M00301,Mehr Store,Cash,Guliston,Sirdaryo,6299,15.7,62972,0,1
M00302,Kumush Store,Utilities,Termez,Surxondaryo,6510,21.6,326527,0,3
M00303,Shams Service,Fuel,Guliston,Sirdaryo,2009,5.5,97631,1,7
M00304,Yulduz Market,Grocery,Urgench,Xorazm,8850,6.7,321183,1,2
M00305,Nur Express,Fuel,Termez,Surxondaryo,7279,13.3,206976,0,7
M00306,Baraka Trade,Fuel,Termez,Surxondaryo,2393,12.1,344476,0,7
M00307,Oltin Plus,Grocery,Termez,Surxondaryo,2906,25.7,81981,1,6
M00308,Zafar Store,Online Shopping,Jizzakh,Jizzakh,6404,22.8,148536,1,3
M00309,Baxt Market,Online Shopping,Tashkent,Tashkent City,1838,41.9,132071,0,3
M00310,Oltin Store,Telecom,Samarkand,Samarkand,8739,45.8,915322,0,7
M00311,Kumush Express,Telecom,Nukus,Karakalpakstan,1603,4.2,246270,1,7
M00312,Baraka Shop,Electronics,Andijan,Andijan,8023,11.0,106951,0,0
M00313,Fayz Store,Electronics,Qarshi,Qashqadaryo,9734,24.7,610401,0,8
M00314,Nur Market,Restaurant,Namangan,Namangan,4335,18.1,652272,0,6
M00315,Baraka Plus,Electronics,Jizzakh,Jizzakh,3527,9.5,71745,0,0
M00316,Baraka Shop,Clothing,Bukhara,Bukhara,9659,34.7,150061,0,1
M00317,Zafar Shop,Electronics,Samarkand,Samarkand,8670,29.1,88454,1,3
M00318,Shams Bozor,ATM,Urgench,Xorazm,2403,3.9,34077,0,8
M00319,Nur Bozor,Clothing,Fergana,Fergana,5728,15.7,138953,1,5
M00320,Fayz Shop,Utilities,Jizzakh,Jizzakh,4665,14.7,10428,1,5
M00321,Oltin Shop,Electronics,Nukus,Karakalpakstan,8701,9.3,127995,0,9
M00322,Baraka Bozor,ATM,Guliston,Sirdaryo,7757,16.4,115117,0,0
M00323,Nur Store,Pharmacy,Samarkand,Samarkand,8203,19.9,114062,1,4
